Country,Sex,Year,BMI
Chile,Male,2022,24.4
Chile,Female,2022,30.5
Chile,Both sexes,2021,27
Chile,Male,2021,23.8
Chile,Female,2021,30
Chile,Both sexes,2020,26.5
Chile,Male,2020,23.3
Chile,Female,2020,29.6
Chile,Both sexes,2019,26.1
Chile,Male,2019,22.8
Chile,Female,2019,29.1
Chile,Both sexes,2018,25.6
Chile,Male,2018,22.3
Chile,Female,2018,28.7
China,Both sexes,2023,6.2
China,Male,2023,5.9
China,Female,2023,6.5
China,Both sexes,2022,5.9
China,Male,2022,5.5
China,Female,2022,6.2
China,Both sexes,2021,5.5
China,Male,2021,5.1
China,Female,2021,6
China,Both sexes,2020,5.2
China,Male,2020,4.8
China,Female,2020,5.7
China,Both sexes,2019,5
China,Male,2019,4.5
China,Female,2019,5.5
China,Both sexes,2018,4.7
China,Male,2018,4.2
China,Female,2018,5.2
Colombia,Both sexes,2023,22.3
Colombia,Male,2023,17.6
Colombia,Female,2023,26.6
Colombia,Both sexes,2022,21.9
Colombia,Male,2022,17.1
Colombia,Female,2022,26.1
Colombia,Both sexes,2021,21.4
Colombia,Male,2021,16.6
Colombia,Female,2021,25.7
Colombia,Both sexes,2020,20.9
Colombia,Male,2020,16.1
Colombia,Female,2020,25.2
Colombia,Both sexes,2019,20.4
Colombia,Male,2019,15.6
Colombia,Female,2019,24.7
Colombia,Both sexes,2018,20
Colombia,Male,2018,15.2
Colombia,Female,2018,24.3
Comoros,Both sexes,2023,7.8
Comoros,Male,2023,3.3
Comoros,Female,2023,12.2
Comoros,Both sexes,2022,7.5
Comoros,Male,2022,3.1
Comoros,Female,2022,11.7
Comoros,Both sexes,2021,7.2
Comoros,Male,2021,3
Comoros,Female,2021,11.3
Comoros,Both sexes,2020,6.9
Comoros,Male,2020,2.9
Comoros,Female,2020,10.8
Comoros,Both sexes,2019,6.7
Comoros,Male,2019,2.7
Comoros,Female,2019,10.4
Comoros,Both sexes,2018,6.4
Comoros,Male,2018,2.6
Comoros,Female,2018,10
Congo,Both sexes,2023,9.6
Congo,Male,2023,5.5
Congo,Female,2023,13.5
Congo,Both sexes,2022,9.2
Congo,Male,2022,5.2
Congo,Female,2022,13.1
Congo,Both sexes,2021,8.9
Congo,Male,2021,5
Congo,Female,2021,12.7
Congo,Both sexes,2020,8.6
Congo,Male,2020,4.7
Congo,Female,2020,12.3
Congo,Both sexes,2019,8.3
Congo,Male,2019,4.5
Congo,Female,2019,11.9
Congo,Both sexes,2018,8
